Position,Track Name,Artist,Streams,URL
56,Que Tire Pa Lante,Daddy Yankee,1375306,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
57,lovely (with Khalid),Billie Eilish,1362904,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
58,Truth Hurts,Lizzo,1339300,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
59,It's You,Ali Gatie,1337202,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
60,Whine Up,Nicky Jam,1322546,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
61,Sucker,Jonas Brothers,1292274,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
62,Without Me,Halsey,1291265,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
63,"thank u, next",Ariana Grande,1283043,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
64,Ayy Macarena,Tyga,1275890,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
65,Happier,Marshmello,1243447,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
66,Do They Know It's Christmas? - 1984 Version,Band Aid,1226927,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
67,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,1203966,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
68,Dancing With A Stranger (with Normani),Sam Smith,1189693,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
69,bury a friend,Billie Eilish,1187369,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
70,No Guidance (feat. Drake),Chris Brown,1170905,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
71,Aventura,Lunay,1168524,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
72,Piece Of Your Heart,MEDUZA,1160813,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
73,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,1151811,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
74,Holly Jolly Christmas,Michael Bubl̩,1148618,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
75,SICKO MODE,Travis Scott,1141114,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
76,Let It Snow! Let It Snow! Let It Snow!,Frank Sinatra,1135986,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
77,Money In The Grave (Drake ft. Rick Ross),Drake,1135707,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
78,Yellow Hearts,Ant Saunders,1130691,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
79,Indeciso,Reik,1119319,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
80,Mean It,Lauv,1119140,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
81,Look At Her Now,Selena Gomez,1117107,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
82,Soltera - Remix,Lunay,1116594,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
83,Into the Unknown,Idina Menzel,1112291,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
84,Sweet but Psycho,Ava Max,1107050,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
85,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,1107012,https://open.spotify.com/track/07s9NNOT0sZQp7TyolLLgu
86,Bohemian Rhapsody - Remastered 2011,Queen,1104179,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
87,Happy Xmas (War Is Over) - Remastered,John Lennon,1095212,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
88,Quizas,Rich Music LTD,1093031,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
89,Hola - Remix,Dalex,1091805,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
90,Underneath the Tree,Kelly Clarkson,1088388,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
91,"Yo x Ti, Tu x Mi",ROSAL̍A,1087297,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
92,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,1084237,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
93,Si Te Vas,Sech,1075509,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
94,rockstar (feat. 21 Savage),Post Malone,1056591,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
95,Con Calma,Daddy Yankee,1056297,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
96,Talk (feat. Disclosure),Khalid,1050632,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
97,Up All Night,Khalid,1041252,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
98,Eastside (with Halsey & Khalid),benny blanco,1039631,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
99,Tutu,Camilo,1038433,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
100,Graveyard,Halsey,1038161,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
101,Believer,Imagine Dragons,1034113,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
102,Feliz Navidad,Jos̩ Feliciano,1019833,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
103,MIDDLE CHILD,J. Cole,1016002,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
104,No Idea,Don Toliver,1002596,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
105,Con Altura,ROSAL̍A,996317,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
106,High Hopes,Panic! At The Disco,995308,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
107,Lucid Dreams,Juice WRLD,988146,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
108,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,982571,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
