name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
The Story Of Us,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,4.43,54,0.5429999999999999,0.0047799999999999995,0.5429999999999999,0.818,0.000368,0.0357,-3.611,0.0398,139.898,4,2010,True
Style,1989 (Deluxe Edition),Taylor Swift,2014-10-27,3.85,58,0.588,0.00245,0.588,0.7909999999999999,0.0025800000000000003,0.11800000000000001,-5.595,0.0402,94.93299999999999,4,2014,True
Speak Now,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,4.01,54,0.7090000000000001,0.095,0.7090000000000001,0.599,0.0,0.0973,-3.734,0.0304,118.975,4,2010,True
Out Of The Woods,1989 (Deluxe Edition),Taylor Swift,2014-10-27,3.93,56,0.5529999999999999,0.000743,0.5529999999999999,0.841,1.1900000000000001e-05,0.341,-6.937,0.0396,92.008,4,2014,True
Wildest Dreams,1989 (Deluxe Edition),Taylor Swift,2014-10-27,3.67,57,0.55,0.0692,0.55,0.688,0.00144,0.106,-7.416,0.0897,139.997,4,2014,True
Love Story,Fearless Platinum Edition,Taylor Swift,2008-11-11,3.92,54,0.618,0.157,0.618,0.736,0.0,0.073,-3.937,0.0308,118.98200000000001,4,2008,True
I Don’t Wanna Live Forever (Fifty Shades Darker),Fifty Shades Darker (Original Motion Picture Soundtrack),Various Artists,2017-02-10,4.09,72,0.7340000000000001,0.0594,0.7340000000000001,0.442,1.63e-05,0.213,-8.432,0.0557,117.96700000000001,4,2017,False
Picture To Burn,Taylor Swift,Taylor Swift,2006-10-24,2.88,61,0.6579999999999999,0.17300000000000001,0.6579999999999999,0.877,0.0,0.0962,-2.0980000000000003,0.0323,105.586,4,2006,True
Ours,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,3.97,56,0.608,0.537,0.608,0.569,0.0,0.09699999999999999,-7.227,0.0284,159.845,4,2010,True
All Too Well,Red (Deluxe Edition),Taylor Swift,2012-10-22,5.46,62,0.602,0.0382,0.602,0.609,0.0002,0.127,-7.803,0.0243,93.06,4,2012,True
White Horse,Fearless Platinum Edition,Taylor Swift,2008-11-11,3.91,50,0.585,0.302,0.585,0.34600000000000003,0.0,0.102,-8.014,0.0256,92.564,4,2008,True
Look What You Made Me Do,reputation,Taylor Swift,2017-11-10,3.53,70,0.7659999999999999,0.204,0.7659999999999999,0.7090000000000001,1.4099999999999999e-05,0.126,-6.471,0.12300000000000001,128.07,4,2017,True
Mine,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,3.85,56,0.624,0.00265,0.624,0.757,1.87e-06,0.18899999999999997,-2.94,0.0296,121.07,4,2010,True
Delicate,reputation,Taylor Swift,2017-11-10,3.87,76,0.75,0.21600000000000003,0.75,0.40399999999999997,0.000357,0.0911,-10.177999999999999,0.0682,95.045,4,2017,True
Our Song,Taylor Swift,Taylor Swift,2006-10-24,3.35,65,0.6679999999999999,0.111,0.6679999999999999,0.672,0.0,0.32899999999999996,-4.931,0.0303,89.01100000000001,4,2006,True
Fearless,Fearless Platinum Edition,Taylor Swift,2008-11-11,4.03,49,0.598,0.0364,0.598,0.7140000000000001,1.04e-06,0.31,-4.397,0.0273,99.979,4,2008,True
Sparks Fly,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,4.35,57,0.605,0.0396,0.605,0.787,1.42e-06,0.163,-3.002,0.0308,114.98700000000001,4,2010,True
Should've Said No,Taylor Swift,Taylor Swift,2006-10-24,4.04,56,0.47600000000000003,0.0103,0.47600000000000003,0.777,0.0,0.196,-3.7710000000000004,0.0289,167.96400000000003,4,2006,True
Fifteen,Fearless Platinum Edition,Taylor Swift,2008-11-11,4.91,49,0.5589999999999999,0.0728,0.5589999999999999,0.636,0.0,0.14400000000000002,-4.4,0.0263,95.485,4,2008,True
Getaway Car,reputation,Taylor Swift,2017-11-10,3.89,67,0.562,0.00465,0.562,0.6890000000000001,2.23e-06,0.0888,-6.745,0.127,172.054,4,2017,True
Today Was A Fairytale - US Version,Today Was A Fairytale,Taylor Swift,2010-01-01,4.03,44,0.485,0.0284,0.485,0.7170000000000001,5.63e-06,0.14,-4.54,0.0321,158.047,4,2010,True
Back To December,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,4.88,57,0.529,0.11699999999999999,0.529,0.67,0.0,0.33399999999999996,-4.663,0.0303,141.893,4,2010,True
Safe & Sound - from The Hunger Games Soundtrack,The Hunger Games: Songs From District 12 And Beyond,Various Artists,2012-01-01,4.0,66,0.47200000000000003,0.883,0.47200000000000003,0.3,1.04e-05,0.0698,-10.807,0.027999999999999997,144.317,4,2012,False
Tim McGraw,Taylor Swift,Taylor Swift,2006-10-24,3.87,59,0.58,0.575,0.58,0.491,0.0,0.121,-6.462000000000001,0.0251,76.009,4,2006,True
Gorgeous,reputation,Taylor Swift,2017-11-10,3.49,67,0.8,0.0713,0.8,0.535,9.48e-06,0.213,-6.684,0.135,92.027,4,2017,True
I Did Something Bad,reputation,Taylor Swift,2017-11-10,3.97,68,0.696,0.0679,0.696,0.602,2.11e-05,0.0696,-6.156000000000001,0.159,82.98899999999999,4,2017,True
Don’t Blame Me,reputation,Taylor Swift,2017-11-10,3.94,67,0.615,0.106,0.615,0.534,1.76e-05,0.0607,-6.718999999999999,0.0386,135.917,4,2017,True
So It Goes...,reputation,Taylor Swift,2017-11-10,3.8,63,0.574,0.122,0.574,0.61,1.1e-06,0.13,-7.2829999999999995,0.0732,74.957,4,2017,True
King Of My Heart,reputation,Taylor Swift,2017-11-10,3.57,65,0.675,0.00882,0.675,0.703,2.21e-06,0.0391,-7.902,0.0382,110.01,4,2017,True
Dancing With Our Hands Tied,reputation,Taylor Swift,2017-11-10,3.53,64,0.624,0.0604,0.624,0.691,1.1e-05,0.138,-6.686,0.196,160.024,4,2017,True
Dress,reputation,Taylor Swift,2017-11-10,3.84,65,0.7190000000000001,0.0329,0.7190000000000001,0.469,0.0,0.16899999999999998,-8.792,0.0533,120.085,4,2017,True
This Is Why We Can’t Have Nice Things,reputation,Taylor Swift,2017-11-10,3.45,64,0.5670000000000001,0.0156,0.5670000000000001,0.789,0.0,0.382,-5.986000000000001,0.115,163.96,4,2017,True
Call It What You Want,reputation,Taylor Swift,2017-11-10,3.39,66,0.598,0.18600000000000003,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,4,2017,True
