name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Same Bitches (feat. G-Eazy & YG),beerbongs & bentleys,Post Malone,2018-04-27,3.54,74,0.731,0.434,0.731,0.774,3.34e-06,0.114,-5.273,0.0555,100.005,4,2018,True
Jonestown (Interlude),beerbongs & bentleys,Post Malone,2018-04-27,1.87,64,0.38,0.755,0.38,0.45399999999999996,0.623,0.263,-10.270999999999999,0.0362,77.592,4,2018,True
92 Explorer,beerbongs & bentleys,Post Malone,2018-04-27,3.52,76,0.7979999999999999,0.265,0.7979999999999999,0.733,1.25e-06,0.114,-4.811,0.0476,146.046,4,2018,True
Candy Paint,beerbongs & bentleys,Post Malone,2018-04-27,3.79,81,0.664,0.64,0.664,0.667,1.22e-06,0.0753,-5.941,0.154,180.06400000000002,4,2018,True
Sugar Wraith,beerbongs & bentleys,Post Malone,2018-04-27,3.8,74,0.606,0.262,0.606,0.775,0.0,0.1,-4.269,0.0671,164.02,4,2018,True
Candy Paint,Fast & Furious 8: The Album,Various Artists,2017-04-14,3.82,52,0.672,0.604,0.672,0.684,0.0,0.081,-5.468,0.158,180.00799999999998,4,2017,False
Ball For Me (feat. Nicki Minaj),Summer Of Hip Hop,Various Artists,2018-06-22,3.44,0,0.764,0.47700000000000004,0.764,0.532,0.0,0.0712,-4.178999999999999,0.309,134.02700000000002,4,2018,False
Tryna F**k Me (feat. Post Malone),The Kanan Tape,Various Artists,2016-01-22,2.62,50,0.8170000000000001,0.0739,0.8170000000000001,0.608,0.0,0.0977,-8.45,0.273,119.986,4,2016,False
"Embarrassed (feat. Post Malone, Riff Raff & Lil B)",East Atlanta Santa 2,Gucci Mane,2015-12-25,4.34,32,0.8109999999999999,0.0356,0.8109999999999999,0.348,0.0,0.0911,-10.184,0.43799999999999994,142.91,4,2015,False
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,2018-10-18,2.63,25,0.753,0.551,0.753,0.498,0.0,0.0706,-5.61,0.0504,89.95,4,2018,True
"Camera (feat. 1st FKI, Lil Uzi Vert, Mac Miller, and Post Malone)",Quality Street Music 2,DJ Drama,2016-07-22,5.47,59,0.522,0.109,0.522,0.483,0.0,0.11599999999999999,-7.622000000000001,0.303,100.132,4,2016,False
all my friends,i am > i was,21 Savage,2018-12-21,3.53,73,0.713,0.171,0.713,0.62,1.16e-06,0.11800000000000001,-4.513,0.0422,130.09,4,2018,False
Wow. - Remix,Wow. (Remix),Post Malone,2019-03-15,2.83,74,0.797,0.14800000000000002,0.797,0.64,0.0,0.209,-6.272,0.19399999999999998,100.00200000000001,4,2019,True
Too Late,"Tha Truth, Pt. 3",Trae Tha Truth,2017-07-21,4.06,36,0.524,0.49200000000000005,0.524,0.682,2.83e-06,0.107,-4.936,0.128,86.70700000000001,4,2017,False
Celebrate (feat. Travis Scott & Post Malone),Father Of Asahd,DJ Khaled,2019-05-17,3.44,71,0.36200000000000004,0.26899999999999996,0.36200000000000004,0.7140000000000001,0.0,0.21,-3.07,0.0835,67.4,4,2019,False
Hollywood's Bleeding,Hollywood's Bleeding,Post Malone,2019-09-06,2.6,63,0.405,0.331,0.405,0.6459999999999999,0.0,0.10300000000000001,-3.2060000000000004,0.0476,130.218,4,2019,True
Saint-Tropez,Hollywood's Bleeding,Post Malone,2019-09-06,2.51,65,0.617,0.0545,0.617,0.684,0.0,0.10400000000000001,-3.6180000000000003,0.0439,132.113,4,2019,True
Enemies (feat. DaBaby),Hollywood's Bleeding,Post Malone,2019-09-06,3.28,63,0.542,0.0588,0.542,0.674,0.0,0.0955,-4.169,0.21,76.388,4,2019,True
Allergic,Hollywood's Bleeding,Post Malone,2019-09-06,2.61,60,0.665,0.154,0.665,0.741,3.02e-05,0.345,-3.694,0.0787,144.968,4,2019,True
A Thousand Bad Times,Hollywood's Bleeding,Post Malone,2019-09-06,3.69,61,0.632,0.105,0.632,0.732,1.15e-05,0.111,-3.498,0.092,159.0,4,2019,True
Circles,Hollywood's Bleeding,Post Malone,2019-09-06,3.59,66,0.695,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,2019,True
Die For Me (feat. Future & Halsey),Hollywood's Bleeding,Post Malone,2019-09-06,4.09,62,0.614,0.19,0.614,0.66,0.0,0.21100000000000002,-2.8480000000000003,0.0441,145.01,4,2019,True
On The Road (feat. Meek Mill & Lil Baby),Hollywood's Bleeding,Post Malone,2019-09-06,3.64,61,0.442,0.0589,0.442,0.737,0.0,0.102,-5.046,0.109,112.93,5,2019,True
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Hollywood's Bleeding,Post Malone,2019-09-06,3.83,63,0.499,0.0906,0.499,0.8,0.0,0.147,-2.665,0.0502,139.91899999999998,4,2019,True
I'm Gonna Be,Hollywood's Bleeding,Post Malone,2019-09-06,3.34,59,0.746,0.703,0.746,0.5589999999999999,0.0,0.14800000000000002,-4.008,0.0316,117.943,4,2019,True
Staring At The Sun (feat. SZA),Hollywood's Bleeding,Post Malone,2019-09-06,2.8,59,0.7240000000000001,0.248,0.7240000000000001,0.772,0.0,0.308,-4.388999999999999,0.184,95.074,4,2019,True
Internet,Hollywood's Bleeding,Post Malone,2019-09-06,2.06,57,0.469,0.841,0.469,0.489,0.0,0.10300000000000001,-6.071000000000001,0.0314,74.013,4,2019,True
Goodbyes (feat. Young Thug),Hollywood's Bleeding,Post Malone,2019-09-06,2.91,63,0.5479999999999999,0.456,0.5479999999999999,0.653,0.0,0.10300000000000001,-3.875,0.081,150.06799999999998,4,2019,True
Myself,Hollywood's Bleeding,Post Malone,2019-09-06,2.64,58,0.47600000000000003,0.102,0.47600000000000003,0.701,0.0,0.242,-4.234,0.0349,163.882,4,2019,True
I Know,Hollywood's Bleeding,Post Malone,2019-09-06,2.36,57,0.6659999999999999,0.49700000000000005,0.6659999999999999,0.603,0.0,0.11199999999999999,-5.671,0.0763,102.94,4,2019,True
Wow.,Hollywood's Bleeding,Post Malone,2019-09-06,2.49,59,0.8290000000000001,0.136,0.8290000000000001,0.539,1.78e-06,0.10300000000000001,-7.359,0.20800000000000002,99.96,4,2019,True
Writing on the Wall (feat. Post Malone & Cardi B),Writing on the Wall (feat. Post Malone & Cardi B),French Montana,2019-09-27,3.35,84,0.773,0.28300000000000003,0.773,0.836,2.1e-05,0.0828,-2.326,0.153,112.01,4,2019,False
