,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,SOS,A Girl Like Me,Rihanna,2006-04-10,238920,11,0.677,0.004,0.677,0.671,5.07e-05,0.413,-4.905,0.0361,137.046,4
1,Break It Off,The Trinity,Sean Paul,2005-09-26,215600,53,0.899,0.0155,0.899,0.724,0.0,0.0453,-5.757,0.202,133.95,4
2,Pon de Replay,Music Of The Sun,Rihanna,2005-08-29,246960,14,0.779,0.000155,0.779,0.64,0.00077,0.101,-8.415,0.159,99.019,4
3,Umbrella,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,275986,17,0.583,0.00864,0.583,0.829,0.0,0.0426,-4.603,0.134,174.028,4
4,Disturbia,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,238626,15,0.707,0.0863,0.707,0.813,0.0,0.168,-4.515,0.0571,124.921,4
5,Don't Stop The Music,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,267080,18,0.835,0.0336,0.835,0.669,6.92e-05,0.0535,-5.582,0.0643,122.668,4
6,Only Girl (In The World),Only Girl (In The World),Rihanna,2010-09-10,235853,8,0.768,0.0524,0.768,0.738,3.01e-05,0.0561,-3.017,0.0406,125.928,4
7,We Found Love,We Found Love,Rihanna,2011-09-22,215760,13,0.755,0.0225,0.755,0.74,0.00139,0.124,-4.951,0.0407,127.98,4
8,Where Have You Been,Talk That Talk (Deluxe),Rihanna,2012-07-18,242680,14,0.719,0.00201,0.719,0.847,0.0204,0.223,-6.34,0.0916,127.963,4
9,This Is What You Came For,This Is What You Came For,Calvin Harris,2016-04-29,222160,80,0.63,0.199,0.63,0.928,0.124,0.148,-2.787,0.0331,123.963,4
10,Unfaithful,A Girl Like Me,Rihanna,2006-04-10,224629,15,0.588,0.839,0.588,0.391,0.0,0.195,-8.596,0.0334,144.053,4
11,Take A Bow,Take A Bow,Rihanna,2008-04-15,228933,4,0.707,0.272,0.707,0.508,0.0,0.0858,-5.851,0.0553,81.991,4
12,Hate That I Love You,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,218946,12,0.637,0.323,0.637,0.73,0.0,0.0981,-5.38,0.0874,93.867,4
13,What's My Name?,What's My Name?,Rihanna,2010-10-26,264706,0,0.707,0.228,0.707,0.779,0.0,0.0968,-2.937,0.0645,100.031,4
14,Work,ANTI (Deluxe),Rihanna,2016-01-28,219320,17,0.725,0.0752,0.725,0.534,0.0,0.0919,-6.238,0.0946,91.974,4
15,Rude Boy,Rude Boy,Rihanna,2010-01-01,223386,46,0.562,0.116,0.562,0.757,0.0,0.103,-4.504,0.152,173.955,4
16,Man Down,Loud,Rihanna,2010-11-16,267000,70,0.477,0.0437,0.477,0.904,0.0,0.0491,-4.024,0.177,155.781,4
17,No Love Allowed,Unapologetic,Rihanna,2012-12-11,249133,39,0.583,0.362,0.583,0.482,4.14e-05,0.0938,-9.164,0.0987,90.483,4
18,Can't Remember to Forget You (feat. Rihanna),Shakira. (Expanded Edition),Shakira,2014-03-14,206866,62,0.694,0.122,0.694,0.81,0.0,0.141,-3.556,0.0661,137.968,4
19,You Da One,You Da One (Explicit Version),Rihanna,2011-11-15,199933,0,0.703,0.523,0.703,0.71,4.04e-05,0.123,-5.383,0.0502,127.024,4
20,Raining Men,Loud,Rihanna,2010-11-16,224840,51,0.655,0.015,0.655,0.802,0.0,0.337,-4.818,0.176,157.932,4
21,Nobody's Business,Unapologetic,Rihanna,2012-12-11,216293,41,0.741,0.0362,0.741,0.6,0.0,0.0562,-5.792,0.0412,109.233,4
22,Loveeeeeee Song,Unapologetic,Rihanna,2012-12-11,256320,43,0.71,0.508,0.71,0.598,0.0,0.0971,-7.598,0.0319,119.981,4
