,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Love On Top,4,Beyoncé,2011-06-24,267413,76,0.652,0.0849,0.652,0.748,0.0,0.604,-5.242,0.0887,94.1,4
1,Party,4,Beyoncé,2011-06-24,245480,62,0.648,0.0188,0.648,0.593,0.0,0.169,-6.267,0.0506,160.979,4
2,Schoolin' Life,4,Beyoncé,2011-06-24,293133,55,0.799,0.0289,0.799,0.715,0.0,0.339,-5.481,0.0822,124.04,4
3,Countdown,4,Beyoncé,2011-06-24,212146,69,0.665,0.308,0.665,0.787,0.0,0.219,-5.73,0.151,167.349,4
4,I Miss You,4,Beyoncé,2011-06-24,179066,56,0.718,0.352,0.718,0.523,0.00314,0.0909,-7.181,0.199,167.963,4
5,Dance for You,4,Beyoncé,2011-06-24,377466,66,0.616,0.0322,0.616,0.78,0.0,0.173,-6.062,0.0623,110.005,4
6,I Care,4,Beyoncé,2011-06-24,239466,57,0.371,0.284,0.371,0.84,4.79e-06,0.135,-6.021,0.292,86.934,4
7,Rather Die Young,4,Beyoncé,2011-06-24,222480,50,0.628,0.158,0.628,0.665,0.00278,0.177,-6.626,0.112,72.032,4
8,1+1,4,Beyoncé,2011-06-24,273880,60,0.303,0.381,0.303,0.384,5.14e-06,0.0661,-7.342,0.0339,63.345,5
9,End of Time,4,Beyoncé,2011-06-24,223986,66,0.711,0.0328,0.711,0.811,0.000517,0.0649,-7.503,0.219,117.999,4
10,Run the World (Girls),4,Beyoncé,2011-06-24,236093,75,0.733,0.00496,0.733,0.899,4.72e-05,0.372,-4.237,0.143,127.086,4
11,Best Thing I Never Had,4,Beyoncé,2011-06-24,253746,73,0.545,0.143,0.545,0.649,1.57e-05,0.0894,-4.062,0.0324,99.099,4
12,Start Over,4,Beyoncé,2011-06-24,199106,52,0.474,0.193,0.474,0.797,6.2e-06,0.322,-4.541,0.191,150.006,4
13,I Was Here,4,Beyoncé,2011-06-24,239213,62,0.51,0.431,0.51,0.627,0.0,0.0927,-6.59,0.0336,110.992,3
14,Lay Up Under Me,4,Beyoncé,2012-01-06,253760,36,0.724,0.0446,0.724,0.792,0.0,0.231,-5.374,0.0665,116.01,4
15,Single Ladies (Put a Ring on It),I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,192586,66,0.426,0.0383,0.426,0.584,0.0,0.192,-5.293,0.296,193.438,4
16,Diva,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,199923,53,0.869,0.0512,0.869,0.546,0.0113,0.0541,-6.755,0.327,146.118,4
17,Ego,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,234614,48,0.474,0.145,0.474,0.391,0.0,0.201,-7.781,0.263,78.798,4
18,Halo,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,261085,75,0.422,0.273,0.422,0.712,0.0,0.051,-5.907,0.1,78.454,4
19,If I Were a Boy,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,249866,70,0.63,0.0953,0.63,0.504,0.0,0.308,-6.152,0.0334,89.946,4
20,Smash Into You,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,270233,44,0.57,0.206,0.57,0.423,0.0,0.293,-8.995,0.0267,95.026,4
21,Sweet Dreams,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,206193,57,0.693,0.0995,0.693,0.822,1.73e-05,0.061,-6.01,0.102,121.969,4
22,Broken-Hearted Girl,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,277710,57,0.453,0.495,0.453,0.425,0.0,0.254,-7.198,0.0325,83.413,4
23,Scared of Lonely,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,223586,41,0.54,0.0577,0.54,0.576,0.0,0.114,-6.679,0.0483,86.959,4
