,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
39,get well soon,Sweetener,Ariana Grande,2018-08-17,322026,69,0.604,0.657,0.604,0.449,0.0,0.0932,-6.564,0.0353,100.355,4
40,Honeymoon Avenue,Yours Truly,Ariana Grande,2013-01-01,339733,61,0.692,0.218,0.692,0.608,0.0,0.348,-5.233,0.041,125.012,4
41,successful,Sweetener,Ariana Grande,2018-08-17,227386,70,0.847,0.107,0.847,0.603,7.4e-06,0.106,-4.607,0.0397,114.045,4
42,Tattooed Heart,Yours Truly,Ariana Grande,2013-01-01,194706,61,0.536,0.41,0.536,0.521,0.0,0.142,-4.128,0.0274,72.06,4
43,Baby I,Yours Truly,Ariana Grande,2013-01-01,197600,59,0.725,0.0154,0.725,0.796,0.0,0.354,-3.684,0.0326,101.976,4
44,pete davidson,Sweetener,Ariana Grande,2018-08-17,73813,69,0.652,0.43,0.652,0.31,1.16e-05,0.182,-10.212,0.0509,119.913,4
45,better off,Sweetener,Ariana Grande,2018-08-17,171333,70,0.597,0.216,0.597,0.524,0.0,0.112,-7.247,0.0537,92.568,4
46,My Favorite Part,The Divine Feminine,Mac Miller,2016-09-16,216000,75,0.861,0.627,0.861,0.33,1.93e-06,0.14,-7.194,0.0526,95.016,4
47,Dance To This (feat. Ariana Grande),Dance To This (feat. Ariana Grande),Troye Sivan,2018-06-13,231846,14,0.736,0.00632,0.736,0.756,0.00577,0.106,-7.099,0.047,117.016,4
48,Just A Little Bit Of Your Heart,My Everything,Ariana Grande,2014-08-21,232586,6,0.432,0.706,0.432,0.328,0.0,0.0958,-5.908,0.0275,77.919,4
49,raindrops (an angel cried),Sweetener,Ariana Grande,2018-08-17,37640,69,0.336,0.942,0.336,0.231,0.0,0.188,-6.217,0.0497,168.685,5
