,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Adaptation,Kiss Land,The Weeknd,2013-01-01,283933,53,0.642,0.151,0.642,0.79,0.000583,0.305,-6.8,0.0681,114.96,4
1,The Town,Kiss Land,The Weeknd,2013-01-01,307346,52,0.625,0.361,0.625,0.524,2.67e-06,0.0826,-8.227,0.0369,139.968,4
2,Love In The Sky,Kiss Land,The Weeknd,2013-01-01,267920,60,0.644,0.16,0.644,0.736,0.000156,0.6,-6.862,0.0514,115.032,4
3,Live For,Kiss Land,The Weeknd,2013-01-01,222666,61,0.626,0.517,0.626,0.68,0.0,0.114,-7.64,0.112,75.978,4
4,Kiss Land,Kiss Land,The Weeknd,2013-01-01,455333,55,0.324,0.0415,0.324,0.852,0.0,0.061,-6.675,0.109,121.881,4
5,Pretty,Kiss Land,The Weeknd,2013-01-01,375400,60,0.58,0.0355,0.58,0.685,3.42e-05,0.315,-6.829,0.0394,125.968,4
6,Tears In The Rain,Kiss Land,The Weeknd,2013-01-01,444653,53,0.655,0.109,0.655,0.636,0.237,0.0842,-7.84,0.0453,160.01,4
7,High For This,Trilogy,The Weeknd,2012-01-01,247226,69,0.465,0.744,0.465,0.403,0.000667,0.0777,-8.895,0.0755,74.95,4
8,What You Need,Trilogy,The Weeknd,2012-01-01,196360,66,0.657,0.525,0.657,0.405,0.072,0.146,-8.637,0.0584,133.895,4
9,Wicked Games,Trilogy,The Weeknd,2012-01-01,323746,75,0.658,0.00959,0.658,0.591,5.27e-06,0.325,-5.197,0.0309,114.078,4
10,The Party & The After Party,Trilogy,The Weeknd,2012-01-01,459386,62,0.438,0.476,0.438,0.634,0.0,0.113,-7.456,0.337,203.585,4
11,Coming Down,Trilogy,The Weeknd,2012-01-01,295453,58,0.665,0.487,0.665,0.612,0.000194,0.183,-4.664,0.0314,120.989,4
12,The Knowing,Trilogy,The Weeknd,2012-01-01,340333,58,0.451,0.571,0.451,0.573,0.00744,0.172,-8.277,0.0303,85.921,4
13,Twenty Eight,Trilogy,The Weeknd,2012-01-01,258453,63,0.639,0.574,0.639,0.633,0.000218,0.111,-7.338,0.0352,129.996,4
14,The Zone,Trilogy,The Weeknd,2012-01-01,418506,63,0.619,0.26,0.619,0.521,0.000542,0.101,-8.092,0.0744,139.886,4
15,The Birds Pt. 1,Trilogy,The Weeknd,2012-01-01,214186,57,0.571,0.0245,0.571,0.692,0.0,0.0813,-6.656,0.0545,127.937,4
16,The Birds Pt. 2,Trilogy,The Weeknd,2012-01-01,350640,56,0.296,0.745,0.296,0.518,3.31e-05,0.462,-9.571,0.0489,183.672,4
17,Outside,Trilogy,The Weeknd,2012-01-01,260093,55,0.565,0.693,0.565,0.446,0.0,0.469,-9.26,0.0531,140.121,4
18,Same Old Song,Trilogy,The Weeknd,2012-01-01,312053,56,0.771,0.415,0.771,0.56,4.86e-05,0.536,-5.636,0.0692,109.978,4
19,Next,Trilogy,The Weeknd,2012-01-01,360106,57,0.63,0.715,0.63,0.682,0.0,0.115,-7.317,0.0551,112.077,4
20,Till Dawn (Here Comes The Sun),Trilogy,The Weeknd,2012-01-01,319693,55,0.697,0.821,0.697,0.542,0.000452,0.134,-8.946,0.0437,99.988,4
