,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Buttons - Bart Hendrix Deep Dope Remix,Buttons,Sia,2009-02-09,370748,0,0.8,0.187,0.8,0.759,0.864,0.0988,-12.279,0.0564,127.002,4
1,Cheap Thrills,This Is Acting (Deluxe Version),Sia,2016-10-21,211666,72,0.628,0.0472,0.628,0.698,0.00143,0.0907,-5.608,0.105,89.976,4
2,Chandelier,1000 Forms Of Fear (Deluxe Version),Sia,2015-05-01,216120,71,0.399,0.0197,0.399,0.787,6.07e-05,0.0685,-2.88,0.0499,117.089,5
3,Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),ZAYN,2017-09-07,239000,83,0.258,0.101,0.258,0.437,1.27e-06,0.106,-6.593,0.039,180.043,4
4,Elastic Heart,1000 Forms Of Fear (Deluxe Version),Sia,2015-05-01,257200,67,0.421,0.0117,0.421,0.791,1.48e-05,0.146,-4.998,0.0496,130.075,4
5,The Greatest,This Is Acting (Deluxe Version),Sia,2016-10-21,210226,76,0.668,0.0102,0.668,0.725,0.000479,0.0561,-6.127,0.266,191.944,4
6,Flames,7,David Guetta,2018-09-14,195000,58,0.609,0.0723,0.609,0.726,8.45e-06,0.0895,-4.346,0.0414,93.958,4
7,"Thunderclouds (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,187026,80,0.69,0.0077,0.69,0.714,7.23e-05,0.191,-5.948,0.0338,112.009,4
8,"Genius (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,213706,77,0.603,0.0799,0.603,0.615,6.72e-05,0.117,-4.931,0.165,158.657,4
9,"No New Friends (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,175826,77,0.725,0.0632,0.725,0.703,0.000251,0.14,-4.641,0.0466,106.032,4
10,"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,195746,64,0.585,0.034,0.585,0.525,2.6e-05,0.139,-5.915,0.0817,167.811,3
11,"Welcome to the Wonderful World of (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,116666,57,0.499,0.0799,0.499,0.324,0.0,0.352,-7.944,0.0641,119.266,4
12,"Angel in Your Eyes (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,186120,60,0.607,0.0288,0.607,0.616,0.0439,0.138,-6.925,0.0581,184.111,4
13,"Genius (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,213706,77,0.603,0.0799,0.603,0.615,6.72e-05,0.117,-4.931,0.165,158.657,4
14,"Audio (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,204093,74,0.568,0.209,0.568,0.701,1.06e-06,0.0769,-4.566,0.0426,89.969,4
15,"Thunderclouds (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,187026,80,0.69,0.0077,0.69,0.714,7.23e-05,0.191,-5.948,0.0338,112.009,4
16,"Mountains (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,194733,62,0.625,0.39,0.625,0.601,0.0348,0.0894,-7.766,0.0285,85.967,4
17,"No New Friends (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,175826,77,0.725,0.0632,0.725,0.703,0.000251,0.14,-4.641,0.0466,106.032,4
18,"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,195746,64,0.585,0.034,0.585,0.525,2.6e-05,0.139,-5.915,0.0817,167.811,3
19,"It's Time (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,209706,57,0.398,0.934,0.398,0.245,0.0,0.134,-9.215,0.0351,87.079,4
20,"Genius (feat. Sia, Diplo, and Labrinth) - Lil Wayne Remix","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,162960,64,0.655,0.0147,0.655,0.764,8.88e-05,0.0511,-3.381,0.193,159.017,4
21,I'm Still Here,I'm Still Here,Sia,2018-10-12,241910,63,0.437,0.00697,0.437,0.719,3.86e-05,0.0765,-4.569,0.0376,169.976,4
22,Thunderclouds,Thunderclouds,Sia,2018-08-09,187026,23,0.691,0.0085,0.691,0.716,9.06e-06,0.263,-5.985,0.0351,112.035,4
23,Audio,Audio,Sia,2018-05-10,203400,17,0.365,0.192,0.365,0.692,1.51e-06,0.0862,-4.586,0.0671,89.998,4
24,Genius,Genius,Sia,2018-05-03,213040,16,0.622,0.0864,0.622,0.621,9.8e-05,0.121,-4.924,0.129,158.946,4
25,Helium (Sia vs. David Guetta & Afrojack),Helium (Sia vs. David Guetta & Afrojack),Sia,2018-01-25,237372,65,0.542,0.0977,0.542,0.587,0.0,0.2,-6.145,0.035,136.915,4
26,Santa's Coming For Us,Everyday Is Christmas,Sia,2017-11-17,206533,76,0.669,0.0205,0.669,0.854,0.0,0.047,-4.486,0.0999,93.057,4
27,Candy Cane Lane,Everyday Is Christmas,Sia,2017-11-17,212386,67,0.589,0.00366,0.589,0.91,4.87e-05,0.0843,-4.206,0.0623,130.017,4
28,Snowman,Everyday Is Christmas,Sia,2017-11-17,165906,72,0.716,0.483,0.716,0.512,0.0,0.0928,-6.257,0.0331,104.957,3
29,Snowflake,Everyday Is Christmas,Sia,2017-11-17,242866,59,0.586,0.438,0.586,0.359,0.0,0.0988,-8.553,0.0298,134.351,4
30,Ho Ho Ho,Everyday Is Christmas,Sia,2017-11-17,205626,65,0.716,0.0338,0.716,0.742,0.0,0.105,-5.103,0.0407,129.014,4
31,Puppies Are Forever,Everyday Is Christmas,Sia,2017-11-17,223360,58,0.462,0.0241,0.462,0.944,0.0,0.134,-3.588,0.141,169.926,4
32,Sunshine,Everyday Is Christmas,Sia,2017-11-17,205986,57,0.357,0.0881,0.357,0.831,0.0,0.0629,-3.99,0.0586,137.864,5
33,Underneath The Mistletoe,Everyday Is Christmas,Sia,2017-11-17,230186,64,0.601,0.0134,0.601,0.688,0.0,0.115,-5.51,0.0322,123.945,4
34,Everyday Is Christmas,Everyday Is Christmas,Sia,2017-11-17,203666,61,0.553,0.039,0.553,0.512,6.3e-06,0.103,-6.216,0.0285,148.074,3
35,Underneath The Christmas Lights,Everyday Is Christmas,Sia,2017-11-17,216573,57,0.362,0.981,0.362,0.173,2.92e-05,0.105,-9.902,0.0377,115.347,4
36,Santa's Coming For Us,Everyday Is Christmas,Sia,2017-11-17,206533,76,0.669,0.0205,0.669,0.854,0.0,0.047,-4.486,0.0999,93.057,4
37,Candy Cane Lane,Everyday Is Christmas,Sia,2017-11-17,212386,67,0.589,0.00366,0.589,0.91,4.87e-05,0.0843,-4.206,0.0623,130.017,4
38,Snowman,Everyday Is Christmas,Sia,2017-11-17,165906,72,0.716,0.483,0.716,0.512,0.0,0.0928,-6.257,0.0331,104.957,3
39,Snowflake,Everyday Is Christmas,Sia,2017-11-17,242866,59,0.586,0.438,0.586,0.359,0.0,0.0988,-8.553,0.0298,134.351,4
40,Ho Ho Ho,Everyday Is Christmas,Sia,2017-11-17,205626,65,0.716,0.0338,0.716,0.742,0.0,0.105,-5.103,0.0407,129.014,4
41,Puppies Are Forever,Everyday Is Christmas,Sia,2017-11-17,223360,58,0.462,0.0241,0.462,0.944,0.0,0.134,-3.588,0.141,169.926,4
42,Sunshine,Everyday Is Christmas,Sia,2017-11-17,205986,57,0.357,0.0881,0.357,0.831,0.0,0.0629,-3.99,0.0586,137.864,5
43,Underneath The Mistletoe,Everyday Is Christmas,Sia,2017-11-17,230186,64,0.601,0.0134,0.601,0.688,0.0,0.115,-5.51,0.0322,123.945,4
44,Everyday Is Christmas,Everyday Is Christmas,Sia,2017-11-17,203666,61,0.553,0.039,0.553,0.512,6.3e-06,0.103,-6.216,0.0285,148.074,3
45,Underneath The Christmas Lights,Everyday Is Christmas,Sia,2017-11-17,216573,57,0.362,0.981,0.362,0.173,2.92e-05,0.105,-9.902,0.0377,115.347,4
46,Round and Round,Everyday Is Christmas (Deluxe),Sia,2018-11-01,149400,54,0.791,0.0499,0.791,0.91,0.00419,0.0703,-3.105,0.0752,119.947,4
47,Sing For My Life,Everyday Is Christmas (Deluxe),Sia,2018-11-01,224506,54,0.554,0.552,0.554,0.484,1.21e-06,0.159,-5.387,0.0289,124.149,4
48,My Old Santa Claus,Everyday Is Christmas (Deluxe),Sia,2018-11-01,204386,57,0.621,0.0168,0.621,0.885,0.0,0.0702,-4.124,0.154,122.0,4
49,Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),ZAYN,2017-09-07,239000,83,0.258,0.101,0.258,0.437,1.27e-06,0.106,-6.593,0.039,180.043,4
50,Free Me,Free Me,Sia,2017-06-09,286069,45,0.269,0.849,0.269,0.455,4.24e-06,0.14,-3.6,0.0285,87.0,4
51,Waterfall,Waterfall,Stargate,2017-03-10,200029,63,0.372,0.0987,0.372,0.919,0.0,0.234,-1.68,0.3,182.785,4
52,Living Out Loud,Living Out Loud,Brooke Candy,2017-02-03,239436,42,0.472,0.0107,0.472,0.796,3.5e-05,0.121,-4.911,0.045,129.811,4
53,Move Your Body - Single Mix,Move Your Body,Sia,2017-01-06,252080,64,0.664,0.00151,0.664,0.883,0.0926,0.072,-3.406,0.0353,127.962,4
54,Bird Set Free,This Is Acting (Deluxe Version),Sia,2016-10-21,252440,67,0.438,0.0115,0.438,0.805,0.000667,0.133,-4.284,0.0728,150.174,4
55,Alive,This Is Acting (Deluxe Version),Sia,2016-10-21,263520,65,0.508,0.254,0.508,0.762,0.000122,0.108,-4.217,0.0489,99.963,4
56,One Million Bullets,This Is Acting (Deluxe Version),Sia,2016-10-21,252066,54,0.365,0.102,0.365,0.717,0.0,0.467,-4.113,0.0521,171.827,4
57,Move Your Body,This Is Acting (Deluxe Version),Sia,2016-10-21,247213,61,0.617,0.00117,0.617,0.842,0.261,0.131,-4.062,0.034,127.955,4
58,Unstoppable,This Is Acting (Deluxe Version),Sia,2016-10-21,217746,76,0.468,0.112,0.468,0.779,0.000373,0.101,-4.839,0.0779,173.799,4
59,Cheap Thrills,This Is Acting (Deluxe Version),Sia,2016-10-21,211666,72,0.628,0.0472,0.628,0.698,0.00143,0.0907,-5.608,0.105,89.976,4
60,Reaper,This Is Acting (Deluxe Version),Sia,2016-10-21,219773,57,0.567,0.0355,0.567,0.773,0.00011,0.0901,-3.344,0.0451,82.947,4
61,House On Fire,This Is Acting (Deluxe Version),Sia,2016-10-21,241120,57,0.523,0.000425,0.523,0.782,0.106,0.135,-6.01,0.054,179.967,4
62,Footprints,This Is Acting (Deluxe Version),Sia,2016-10-21,193133,53,0.557,0.027,0.557,0.759,0.000626,0.318,-4.986,0.0346,92.986,4
63,Sweet Design,This Is Acting (Deluxe Version),Sia,2016-10-21,145600,49,0.779,0.0236,0.779,0.934,0.0177,0.271,-2.027,0.189,103.982,4
64,Broken Glass,This Is Acting (Deluxe Version),Sia,2016-10-21,264986,53,0.406,0.0128,0.406,0.917,0.0571,0.12,-2.812,0.0662,154.033,4
