,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
39,Live For,Kiss Land,The Weeknd,2013-01-01,222666,61,0.626,0.517,0.626,0.68,0.0,0.114,-7.64,0.112,75.978,4
40,Six Feet Under,Starboy,The Weeknd,2016-11-25,237573,70,0.772,0.129,0.772,0.504,0.0,0.125,-8.219,0.0761,140.035,4
41,Reminder,Starboy,The Weeknd,2016-11-25,218880,75,0.705,0.142,0.705,0.505,0.0,0.164,-6.923,0.192,160.043,4
42,Loft Music,Trilogy,The Weeknd,2012-01-01,363640,65,0.287,0.581,0.287,0.498,7.56e-05,0.322,-7.523,0.177,171.725,4
43,Valerie,Trilogy,The Weeknd,2012-01-01,286680,63,0.641,0.346,0.641,0.539,7.04e-06,0.0837,-6.351,0.0463,148.004,4
44,Stargirl Interlude,Starboy,The Weeknd,2016-11-25,111640,67,0.638,0.344,0.638,0.47,0.193,0.105,-12.697,0.132,179.818,4
45,Ordinary Life,Starboy,The Weeknd,2016-11-25,221920,68,0.544,0.0276,0.544,0.586,0.0,0.0961,-7.486,0.0794,149.882,4
46,Love In The Sky,Kiss Land,The Weeknd,2013-01-01,267920,60,0.644,0.16,0.644,0.736,0.000156,0.6,-6.862,0.0514,115.032,4
47,Professional,Kiss Land,The Weeknd,2013-01-01,368720,59,0.405,0.162,0.405,0.619,0.000334,0.0788,-8.92,0.0615,120.092,4
48,All I Know,Starboy,The Weeknd,2016-11-25,321026,67,0.469,0.418,0.469,0.417,0.000189,0.102,-10.614,0.0704,120.012,4
49,Die For You,Starboy,The Weeknd,2016-11-25,260253,77,0.586,0.111,0.586,0.525,0.0,0.134,-7.163,0.0615,133.629,4
50,High For This,Trilogy,The Weeknd,2012-01-01,247226,69,0.465,0.744,0.465,0.403,0.000667,0.0777,-8.895,0.0755,74.95,4
51,Pretty,Kiss Land,The Weeknd,2013-01-01,375400,60,0.58,0.0355,0.58,0.685,3.42e-05,0.315,-6.829,0.0394,125.968,4
52,What You Need,Trilogy,The Weeknd,2012-01-01,196360,66,0.657,0.525,0.657,0.405,0.072,0.146,-8.637,0.0584,133.895,4
53,Low Life,EVOL,Future,2016-04-13,313546,76,0.722,0.337,0.722,0.331,0.283,0.146,-7.789,0.0725,143.974,4
54,Or Nah - Remix,Or Nah (Remix),Ty Dolla $ign,2014-06-10,242983,79,0.805,0.22,0.805,0.33,0.0,0.105,-8.712,0.1,121.97,4
