,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
38,Speak Now,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,240760,54,0.709,0.095,0.709,0.599,0.0,0.0973,-3.734,0.0304,118.975,4
39,Out Of The Woods,1989 (Deluxe Edition),Taylor Swift,2014-10-27,235800,56,0.553,0.000743,0.553,0.841,1.19e-05,0.341,-6.937,0.0396,92.008,4
40,Wildest Dreams,1989 (Deluxe Edition),Taylor Swift,2014-10-27,220440,57,0.55,0.0692,0.55,0.688,0.00144,0.106,-7.416,0.0897,139.997,4
41,Love Story,Fearless Platinum Edition,Taylor Swift,2008-11-11,235280,54,0.618,0.157,0.618,0.736,0.0,0.073,-3.937,0.0308,118.982,4
42,I Don’t Wanna Live Forever (Fifty Shades Darker),Fifty Shades Darker (Original Motion Picture Soundtrack),Various Artists,2017-02-10,245653,72,0.734,0.0594,0.734,0.442,1.63e-05,0.213,-8.432,0.0557,117.967,4
43,Picture To Burn,Taylor Swift,Taylor Swift,2006-10-24,173066,61,0.658,0.173,0.658,0.877,0.0,0.0962,-2.098,0.0323,105.586,4
44,Ours,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,237920,56,0.608,0.537,0.608,0.569,0.0,0.097,-7.227,0.0284,159.845,4
45,All Too Well,Red (Deluxe Edition),Taylor Swift,2012-10-22,327893,62,0.602,0.0382,0.602,0.609,0.0002,0.127,-7.803,0.0243,93.06,4
46,White Horse,Fearless Platinum Edition,Taylor Swift,2008-11-11,234440,50,0.585,0.302,0.585,0.346,0.0,0.102,-8.014,0.0256,92.564,4
47,Look What You Made Me Do,reputation,Taylor Swift,2017-11-10,211853,70,0.766,0.204,0.766,0.709,1.41e-05,0.126,-6.471,0.123,128.07,4
48,Mine,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,230706,56,0.624,0.00265,0.624,0.757,1.87e-06,0.189,-2.94,0.0296,121.07,4
49,Delicate,reputation,Taylor Swift,2017-11-10,232253,76,0.75,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,4
50,Our Song,Taylor Swift,Taylor Swift,2006-10-24,201106,65,0.668,0.111,0.668,0.672,0.0,0.329,-4.931,0.0303,89.011,4
51,Fearless,Fearless Platinum Edition,Taylor Swift,2008-11-11,242000,49,0.598,0.0364,0.598,0.714,1.04e-06,0.31,-4.397,0.0273,99.979,4
52,Sparks Fly,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,260933,57,0.605,0.0396,0.605,0.787,1.42e-06,0.163,-3.002,0.0308,114.987,4
53,Should've Said No,Taylor Swift,Taylor Swift,2006-10-24,242200,56,0.476,0.0103,0.476,0.777,0.0,0.196,-3.771,0.0289,167.964,4
54,Fifteen,Fearless Platinum Edition,Taylor Swift,2008-11-11,294346,49,0.559,0.0728,0.559,0.636,0.0,0.144,-4.4,0.0263,95.485,4
55,Getaway Car,reputation,Taylor Swift,2017-11-10,233626,67,0.562,0.00465,0.562,0.689,2.23e-06,0.0888,-6.745,0.127,172.054,4
56,Today Was A Fairytale - US Version,Today Was A Fairytale,Taylor Swift,2010-01-01,241813,44,0.485,0.0284,0.485,0.717,5.63e-06,0.14,-4.54,0.0321,158.047,4
57,Back To December,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,293026,57,0.529,0.117,0.529,0.67,0.0,0.334,-4.663,0.0303,141.893,4
58,Safe & Sound - from The Hunger Games Soundtrack,The Hunger Games: Songs From District 12 And Beyond,Various Artists,2012-01-01,240066,66,0.472,0.883,0.472,0.3,1.04e-05,0.0698,-10.807,0.028,144.317,4
59,Tim McGraw,Taylor Swift,Taylor Swift,2006-10-24,232106,59,0.58,0.575,0.58,0.491,0.0,0.121,-6.462,0.0251,76.009,4
60,Gorgeous,reputation,Taylor Swift,2017-11-10,209680,67,0.8,0.0713,0.8,0.535,9.48e-06,0.213,-6.684,0.135,92.027,4
61,I Did Something Bad,reputation,Taylor Swift,2017-11-10,238253,68,0.696,0.0679,0.696,0.602,2.11e-05,0.0696,-6.156,0.159,82.989,4
62,Don’t Blame Me,reputation,Taylor Swift,2017-11-10,236413,67,0.615,0.106,0.615,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,4
63,So It Goes...,reputation,Taylor Swift,2017-11-10,227906,63,0.574,0.122,0.574,0.61,1.1e-06,0.13,-7.283,0.0732,74.957,4
64,King Of My Heart,reputation,Taylor Swift,2017-11-10,214320,65,0.675,0.00882,0.675,0.703,2.21e-06,0.0391,-7.902,0.0382,110.01,4
65,Dancing With Our Hands Tied,reputation,Taylor Swift,2017-11-10,211506,64,0.624,0.0604,0.624,0.691,1.1e-05,0.138,-6.686,0.196,160.024,4
66,Dress,reputation,Taylor Swift,2017-11-10,230373,65,0.719,0.0329,0.719,0.469,0.0,0.169,-8.792,0.0533,120.085,4
67,This Is Why We Can’t Have Nice Things,reputation,Taylor Swift,2017-11-10,207133,64,0.567,0.0156,0.567,0.789,0.0,0.382,-5.986,0.115,163.96,4
68,Call It What You Want,reputation,Taylor Swift,2017-11-10,203506,66,0.598,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,4
69,New Year’s Day,reputation,Taylor Swift,2017-11-10,235466,64,0.661,0.921,0.661,0.151,0.0,0.13,-12.864,0.0354,94.922,4
70,Welcome To New York,1989 (Deluxe Edition),Taylor Swift,2014-10-27,212600,53,0.789,0.0348,0.789,0.634,1.64e-06,0.302,-4.762,0.0323,116.992,4
71,All You Had To Do Was Stay,1989 (Deluxe Edition),Taylor Swift,2014-10-27,193293,53,0.605,0.00201,0.605,0.725,2.02e-05,0.101,-5.729,0.0323,96.97,4
72,I Wish You Would,1989 (Deluxe Edition),Taylor Swift,2014-10-27,207440,51,0.653,0.0158,0.653,0.893,4.95e-05,0.102,-5.966,0.0538,118.035,4
73,Bad Blood,1989 (Deluxe Edition),Taylor Swift,2014-10-27,211933,53,0.646,0.0885,0.646,0.794,6.16e-06,0.201,-6.104,0.19,170.216,4
74,How You Get The Girl,1989 (Deluxe Edition),Taylor Swift,2014-10-27,247533,52,0.765,0.00364,0.765,0.656,0.00868,0.0918,-6.112,0.0504,119.997,4
75,This Love,1989 (Deluxe Edition),Taylor Swift,2014-10-27,250093,51,0.481,0.678,0.481,0.435,0.0,0.0928,-8.795,0.0321,143.95,4
76,I Know Places,1989 (Deluxe Edition),Taylor Swift,2014-10-27,195706,51,0.602,0.245,0.602,0.755,0.0,0.178,-4.991,0.071,159.965,4
77,Clean,1989 (Deluxe Edition),Taylor Swift,2014-10-27,271000,54,0.815,0.232,0.815,0.377,0.0,0.1,-7.754,0.0346,103.97,4
78,Wonderland,1989 (Deluxe Edition),Taylor Swift,2014-10-27,245560,55,0.422,0.0493,0.422,0.692,2.57e-05,0.177,-5.447,0.0549,184.014,4
79,You Are In Love,1989 (Deluxe Edition),Taylor Swift,2014-10-27,267106,56,0.474,0.707,0.474,0.48,0.000108,0.0903,-8.894,0.0622,170.109,4
80,New Romantics,1989 (Deluxe Edition),Taylor Swift,2014-10-27,230466,58,0.633,0.00463,0.633,0.889,0.000458,0.0658,-5.87,0.0715,121.956,4
