,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,imagine,"thank u, next",Ariana Grande,2019-02-08,212266,78,0.729,0.378,0.729,0.475,0.0,0.12,-4.985,0.0364,62.52,3
1,needy,"thank u, next",Ariana Grande,2019-02-08,171573,78,0.647,0.78,0.647,0.309,7.41e-06,0.202,-7.948,0.0366,87.045,4
2,NASA,"thank u, next",Ariana Grande,2019-02-08,182000,77,0.747,0.451,0.747,0.458,0.0,0.252,-6.891,0.303,75.029,4
3,bloodline,"thank u, next",Ariana Grande,2019-02-08,216893,76,0.758,0.0815,0.758,0.665,0.000157,0.216,-5.188,0.0774,151.976,4
4,fake smile,"thank u, next",Ariana Grande,2019-02-08,208880,75,0.45,0.329,0.45,0.619,0.0,0.319,-7.412,0.372,83.3,4
5,bad idea,"thank u, next",Ariana Grande,2019-02-08,267106,75,0.847,0.0268,0.847,0.579,0.0545,0.102,-5.314,0.0719,137.998,4
6,make up,"thank u, next",Ariana Grande,2019-02-08,140693,72,0.671,0.0844,0.671,0.714,1.48e-06,0.0568,-5.373,0.21,105.137,3
7,ghostin,"thank u, next",Ariana Grande,2019-02-08,271466,74,0.287,0.418,0.287,0.364,1.8e-05,0.185,-8.295,0.0306,103.777,4
8,in my head,"thank u, next",Ariana Grande,2019-02-08,222946,75,0.662,0.173,0.662,0.6,0.000137,0.109,-6.402,0.0703,134.979,4
9,7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,90,0.778,0.592,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,4
10,"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,88,0.717,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,4
11,"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2019-02-08,190440,85,0.726,0.0421,0.726,0.554,0.0,0.106,-5.29,0.0917,169.999,4
12,raindrops (an angel cried),Sweetener,Ariana Grande,2018-08-17,37640,69,0.336,0.942,0.336,0.231,0.0,0.188,-6.217,0.0497,168.685,5
13,blazed (feat. Pharrell Williams),Sweetener,Ariana Grande,2018-08-17,196360,62,0.795,0.0793,0.795,0.759,0.0,0.0805,-6.348,0.0528,110.021,4
14,the light is coming (feat. Nicki Minaj),Sweetener,Ariana Grande,2018-08-17,228373,68,0.877,0.0122,0.877,0.547,1.51e-05,0.028,-5.705,0.18,99.034,4
15,R.E.M,Sweetener,Ariana Grande,2018-08-17,245666,71,0.831,0.375,0.831,0.485,1.47e-05,0.118,-6.677,0.15,80.022,4
16,God is a woman,Sweetener,Ariana Grande,2018-08-17,197546,82,0.602,0.0233,0.602,0.658,6e-05,0.237,-5.934,0.0558,145.031,4
17,sweetener,Sweetener,Ariana Grande,2018-08-17,208493,72,0.721,0.248,0.721,0.459,0.0,0.212,-6.408,0.032,119.914,4
18,successful,Sweetener,Ariana Grande,2018-08-17,227386,70,0.847,0.107,0.847,0.603,7.4e-06,0.106,-4.607,0.0397,114.045,4
19,everytime,Sweetener,Ariana Grande,2018-08-17,172106,72,0.71,0.186,0.71,0.614,0.0,0.0974,-6.757,0.0431,148.152,4
20,breathin,Sweetener,Ariana Grande,2018-08-17,198160,80,0.568,0.0211,0.568,0.656,1.37e-05,0.213,-5.413,0.0433,100.049,4
21,no tears left to cry,Sweetener,Ariana Grande,2018-08-17,205920,84,0.699,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0.0594,121.993,4
22,borderline (feat. Missy Elliott),Sweetener,Ariana Grande,2018-08-17,177533,63,0.761,0.058,0.761,0.818,0.0,0.11,-5.238,0.0978,110.99,4
23,better off,Sweetener,Ariana Grande,2018-08-17,171333,70,0.597,0.216,0.597,0.524,0.0,0.112,-7.247,0.0537,92.568,4
24,goodnight n go,Sweetener,Ariana Grande,2018-08-17,189506,72,0.708,0.0217,0.708,0.454,0.0,0.073,-7.07,0.0395,110.963,4
25,pete davidson,Sweetener,Ariana Grande,2018-08-17,73813,69,0.652,0.43,0.652,0.31,1.16e-05,0.182,-10.212,0.0509,119.913,4
26,get well soon,Sweetener,Ariana Grande,2018-08-17,322026,69,0.604,0.657,0.604,0.449,0.0,0.0932,-6.564,0.0353,100.355,4
27,Moonlight,Dangerous Woman,Ariana Grande,2016-05-20,202360,7,0.368,0.416,0.368,0.402,2.66e-06,0.0498,-7.474,0.0398,204.045,3
